species,latitude,longitude
Carcinus maenas (European Green Crab),-5.849199,-67.887133
Undaria pinnatifida (Wakame),6.573521,-20.734646
Pterois volitans (Lionfish),-12.947969,-107.080349
Carcinus maenas (European Green Crab),16.105514,-96.704805
Pterois miles (Devil Firefish),-11.220867,-117.812961
Undaria pinnatifida (Wakame),-17.082995,-132.802311
Didemnum vexillum (Marine Tunicate),31.261822,-118.239043
Pterois volitans (Lionfish),32.729427,-126.515843
Undaria pinnatifida (Wakame),-4.669168,-97.059171
Didemnum vexillum (Marine Tunicate),17.351462,-24.894437
Pterois volitans (Lionfish),-38.256256,-29.320868
Didemnum vexillum (Marine Tunicate),-33.916318,-33.795415
Didemnum vexillum (Marine Tunicate),-2.079925,-58.356381
Undaria pinnatifida (Wakame),-36.456334,-46.846465
Carcinus maenas (European Green Crab),-16.189754,-44.048014
Pterois volitans (Lionfish),-25.800969,-53.5776
Pterois volitans (Lionfish),21.223297,-42.681627
Asterias amurensis (Northern Pacific Seastar),-19.258471,-43.709306
Carcinus maenas (European Green Crab),-4.236436,-31.288997
Pterois miles (Devil Firefish),30.220548,-126.512239
Pterois miles (Devil Firefish),26.829726,-124.470064
Pterois miles (Devil Firefish),-31.45179,-143.199718
Asterias amurensis (Northern Pacific Seastar),30.510165,-145.213311
Didemnum vexillum (Marine Tunicate),9.483438,-158.043409
Asterias amurensis (Northern Pacific Seastar),-16.584107,-67.395402
Pterois volitans (Lionfish),-22.944278,-59.089566
Didemnum vexillum (Marine Tunicate),14.736247,-108.058009
Didemnum vexillum (Marine Tunicate),39.891651,-97.588763
Pterois miles (Devil Firefish),-24.377453,-120.902671
Pterois volitans (Lionfish),-36.721511,-23.097398
Pterois miles (Devil Firefish),-25.924446,-101.166569
Undaria pinnatifida (Wakame),1.309958,-65.284289
Undaria pinnatifida (Wakame),-17.339037,-32.74437
Undaria pinnatifida (Wakame),10.024205,-128.013198
Didemnum vexillum (Marine Tunicate),16.83635,-45.80517
Asterias amurensis (Northern Pacific Seastar),9.086694,-112.209838
Didemnum vexillum (Marine Tunicate),-16.444354,-146.094301
Undaria pinnatifida (Wakame),-16.431747,-147.038442
Undaria pinnatifida (Wakame),-33.363474,-116.546951
Pterois volitans (Lionfish),1.062102,-95.750515
